Designator,Mid X,Mid Y,Layer,Rotation
R140,88.851495mm,31.242595mm,Bottom,0.0
R111,65.051395mm,42.592595mm,Bottom,180.0
R112,65.051395mm,43.642595mm,Bottom,180.0
R117,65.051395mm,48.892595mm,Bottom,180.0
R115,65.051395mm,46.792595000000006mm,Bottom,180.0
R116,65.051395mm,47.842595mm,Bottom,180.0
R114,65.051395mm,45.742595mm,Bottom,180.0
R113,65.051395mm,44.692595mm,Bottom,180.0
R110,65.051395mm,41.542595mm,Bottom,180.0
R120,95.36969500000001mm,54.729595mm,Top,0.0
R100,64.751495mm,51.442595mm,Bottom,90.0
R258,85.509095mm,30.737495000000003mm,Bottom,270.0
R255,64.701395mm,28.842595mm,Bottom,270.0
R256,86.45139499999999mm,33.442595mm,Bottom,90.0
R254,64.601395mm,31.292595mm,Top,270.0
R245,82.151495mm,29.792595000000002mm,Bottom,0.0
R227,77.351395mm,29.792595000000002mm,Bottom,0.0
R200,67.751495mm,29.792595000000002mm,Bottom,0.0
R197,74.851495mm,38.642595mm,Bottom,180.0
R196,74.851395mm,35.842595mm,Bottom,0.0
R195,77.701495mm,35.342595mm,Bottom,270.0
R191,88.95139499999999mm,38.642595mm,Bottom,180.0
R190,88.95139499999999mm,35.842595mm,Bottom,0.0
R186,67.751395mm,38.642595mm,Bottom,180.0
R185,67.751395mm,35.842595mm,Bottom,0.0
R181,81.95139499999999mm,38.642595mm,Bottom,180.0
R180,81.95139499999999mm,35.842595mm,Bottom,0.0
R139,90.051395mm,28.742595mm,Top,270.0
R138,88.851395mm,28.742595mm,Top,270.0
R137,87.65139500000001mm,28.742595mm,Top,270.0
R136,86.45139499999999mm,28.742595mm,Top,270.0
R135,90.051395mm,29.742595mm,Top,90.0
R132,88.851395mm,29.742595mm,Top,90.0
R126,87.65139500000001mm,29.742595mm,Top,90.0
R124,86.45139499999999mm,29.742595mm,Top,90.0
R119,65.651395mm,42.642595mm,Top,90.0
R118,65.651395mm,46.742595mm,Top,90.0
R253,84.051395mm,28.742595mm,Top,90.0
R252,82.851395mm,28.742595mm,Top,90.0
R251,81.65139500000001mm,28.742595mm,Top,90.0
R250,80.45139499999999mm,28.742595mm,Top,90.0
R249,84.051395mm,29.742595mm,Top,270.0
R248,82.851395mm,29.742595mm,Top,270.0
R247,81.65139500000001mm,29.742595mm,Top,270.0
R246,80.45139499999999mm,29.742595mm,Top,270.0
R235,79.251395mm,28.742595mm,Top,90.0
R234,78.051395mm,28.742595mm,Top,90.0
R233,76.851395mm,28.742595mm,Top,90.0
R232,75.651395mm,28.742595mm,Top,90.0
R231,79.251395mm,29.742595mm,Top,270.0
R230,78.051395mm,29.742595mm,Top,270.0
R229,76.851395mm,29.742595mm,Top,270.0
R228,75.651395mm,29.742595mm,Top,270.0
R226,74.451395mm,28.742595mm,Top,270.0
R225,73.251395mm,28.742595mm,Top,270.0
R224,72.051395mm,28.742595mm,Top,270.0
R223,70.851395mm,28.742595mm,Top,270.0
R222,74.451395mm,29.742595mm,Top,90.0
R221,73.251395mm,29.742595mm,Top,90.0
R220,72.051395mm,29.742595mm,Top,90.0
R219,70.851395mm,29.742595mm,Top,90.0
R218,72.551395mm,29.792595000000002mm,Bottom,0.0
R208,69.651395mm,28.742595mm,Top,270.0
R207,68.451395mm,28.742595mm,Top,270.0
R206,67.251395mm,28.742595mm,Top,270.0
R205,66.051395mm,28.742595mm,Top,270.0
R204,69.651395mm,29.742595mm,Top,90.0
R203,68.451395mm,29.742595mm,Top,90.0
R202,67.251395mm,29.742595mm,Top,90.0
R201,66.051395mm,29.742595mm,Top,90.0
P106,86.95139499999999mm,40.692595mm,Top,270.0
P105,79.331395mm,40.692595mm,Top,270.0
P104,83.341395mm,40.692595mm,Top,270.0
P201,85.301395mm,29.242595mm,Top,90.0
P200,64.751395mm,27.742595mm,Top,90.0
J100,90.501395mm,50.542595000000006mm,Bottom,90.0
D100,68.151395mm,50.734895mm,Bottom,180.0
D205,94.747895mm,35.998995mm,Top,90.0
D206,82.251395mm,32.542595mm,Top,180.0
D203,77.451395mm,32.542595mm,Top,180.0
D200,67.851395mm,32.542595mm,Top,180.0
D116,69.187495mm,41.342095mm,Top,180.0
D115,73.425795mm,41.342095mm,Top,180.0
D114,69.187495mm,43.275495mm,Top,180.0
D113,73.425795mm,43.275495mm,Top,180.0
D112,69.187495mm,45.208795mm,Top,180.0
D111,73.425795mm,45.208795mm,Top,180.0
D110,69.187495mm,47.142095mm,Top,180.0
D109,73.304495mm,47.281495mm,Top,180.0
D202,72.651395mm,32.542595mm,Top,180.0
C143,86.45139499999999mm,31.642595mm,Top,270.0
C144,87.65139500000001mm,31.642595mm,Top,90.0
C145,88.851395mm,31.642595mm,Top,270.0
C146,90.051395mm,31.642595mm,Top,270.0
C112,75.363595mm,41.027895mm,Bottom,0.0
C111,65.051395mm,40.542595mm,Bottom,180.0
C123,90.65139500000001mm,59.167595000000006mm,Bottom,0.0
C117,90.65139500000001mm,60.435095000000004mm,Bottom,0.0
C105,68.851395mm,52.942595mm,Bottom,0.0
C100,66.278895mm,52.942595mm,Bottom,180.0
C229,86.45139499999999mm,30.737495000000003mm,Bottom,90.0
C224,64.601395mm,29.342595mm,Top,90.0
C223,64.601395mm,33.592595mm,Top,90.0
C222,64.651395mm,30.642595mm,Bottom,270.0
C221,84.874095mm,33.415395000000004mm,Top,270.0
C220,84.766695mm,33.442595mm,Bottom,270.0
C225,80.251495mm,32.492595mm,Bottom,270.0
C226,81.351395mm,32.492595mm,Bottom,270.0
C227,83.501495mm,32.492595mm,Bottom,270.0
C228,84.566695mm,29.737495000000003mm,Bottom,90.0
C212,75.451495mm,32.492595mm,Bottom,270.0
C213,76.551395mm,32.492595mm,Bottom,270.0
C214,78.701495mm,32.492595mm,Bottom,270.0
C215,79.745795mm,29.737495000000003mm,Bottom,90.0
C200,65.851495mm,32.492595mm,Bottom,270.0
C201,66.951395mm,32.492595mm,Bottom,270.0
C202,69.101495mm,32.492595mm,Bottom,270.0
C203,70.141895mm,29.737495000000003mm,Bottom,90.0
C195,77.701495mm,37.942595mm,Bottom,270.0
C190,91.801395mm,37.792595mm,Bottom,270.0
C185,70.601395mm,37.942595mm,Bottom,270.0
C180,84.801395mm,37.942595mm,Bottom,270.0
C142,90.051395mm,28.742595mm,Bottom,270.0
C141,88.851395mm,28.742595mm,Bottom,270.0
C139,87.651495mm,28.742595mm,Bottom,90.0
C135,86.45139499999999mm,28.742595mm,Bottom,270.0
C211,74.959495mm,29.737495000000003mm,Bottom,90.0
C210,73.901495mm,32.492595mm,Bottom,270.0
C209,71.751395mm,32.492595mm,Bottom,270.0
C208,70.651495mm,32.492595mm,Bottom,270.0
C147,81.40139500000001mm,46.151295000000005mm,Bottom,180.0
F101,66.351395mm,59.339794999999995mm,Bottom,90.0
R134,75.601395mm,58.842595mm,Bottom,0.0
R133,75.601395mm,60.017595mm,Bottom,0.0
C133,75.751395mm,56.732595mm,Bottom,90.0
R131,82.547395mm,42.086395mm,Bottom,180.0
R130,75.851495mm,47.267595mm,Bottom,90.0
R129,75.851495mm,43.392595mm,Bottom,90.0
Y101,78.138795mm,55.159995mm,Bottom,0.0
C116,79.079995mm,53.671195mm,Bottom,180.0
C115,77.215795mm,53.684895mm,Bottom,0.0
C124,81.40139500000001mm,45.011495mm,Bottom,0.0
R121,91.076795mm,61.519594999999995mm,Bottom,180.0
R106,84.90139500000001mm,59.667595000000006mm,Bottom,0.0
J101,90.251395mm,60.392595mm,Top,180.0
C108,77.351395mm,56.742595mm,Bottom,0.0
R105,95.300495mm,44.123695mm,Top,0.0
R104,95.100495mm,42.933695mm,Top,0.0
R103,95.300495mm,41.823695mm,Top,0.0
R125,95.851395mm,30.262595mm,Top,270.0
C104,69.701395mm,61.342595mm,Bottom,90.0
C137,77.046595mm,41.051095000000004mm,Top,0.0
D101,66.480895mm,55.587095000000005mm,Bottom,180.0
C101,93.442995mm,61.519594999999995mm,Bottom,180.0
R102,65.278895mm,54.017095mm,Bottom,180.0
R101,75.851495mm,51.142595mm,Bottom,270.0
D102,95.15139500000001mm,60.142595mm,Top,90.0
Y102,80.795195mm,50.129095mm,Bottom,90.0
R122,95.15139500000001mm,39.942595mm,Bottom,0.0
R123,92.861195mm,37.918495mm,Bottom,270.0
R127,80.95139499999999mm,55.842595mm,Bottom,180.0
R128,84.629195mm,42.086395mm,Bottom,180.0
D106,73.304495mm,54.707495mm,Top,180.0
D105,73.304495mm,52.907495mm,Top,180.0
D107,79.456395mm,58.432095000000004mm,Bottom,180.0
D104,73.304495mm,51.107495mm,Top,180.0
D103,73.304495mm,49.307495mm,Top,180.0
C140,80.95139499999999mm,54.742595mm,Bottom,0.0
C132,78.518895mm,51.117695mm,Bottom,90.0
C136,78.518895mm,49.042495mm,Bottom,270.0
C127,89.15139500000001mm,42.086395mm,Bottom,0.0
C138,64.685295mm,58.114795mm,Bottom,90.0
C130,79.16889499999999mm,43.996095mm,Bottom,0.0
C131,89.15139500000001mm,40.942595mm,Bottom,0.0
C122,79.16889499999999mm,46.151295000000005mm,Bottom,180.0
C114,95.019695mm,55.942595mm,Top,0.0
C103,68.651395mm,61.342595mm,Bottom,90.0
C113,95.019695mm,57.142595mm,Top,180.0
C102,68.851395mm,54.017095mm,Bottom,180.0
U105,84.560795mm,49.992595mm,Top,270.0
R430,122.240499mm,47.140337mm,Top,0.0
C431,114.59049900000001mm,50.590337mm,Top,180.0
C430,118.290499mm,50.590337mm,Top,0.0
U430,116.970499mm,47.340337mm,Top,270.0
D430,122.240499mm,49.560337mm,Top,270.0
C601,45.045mm,47.055mm,Bottom,180.0
C602,45.045mm,48.005mm,Bottom,180.0
